country departure,country arrival,number of routes
Ukraine,Latvia,2
United Arab Emirates,Latvia,1
United Kingdom,Latvia,8
United States,Latvia,1
Uzbekistan,Latvia,2
Algeria,Lebanon,1
Armenia,Lebanon,1
Bahrain,Lebanon,2
Belarus,Lebanon,1
Belgium,Lebanon,2
Bulgaria,Lebanon,1
Cyprus,Lebanon,2
Czech Republic,Lebanon,1
Egypt,Lebanon,3
Ethiopia,Lebanon,2
France,Lebanon,3
Germany,Lebanon,2
Greece,Lebanon,1
Hungary,Lebanon,1
Iran,Lebanon,2
Iraq,Lebanon,2
Italy,Lebanon,3
Jordan,Lebanon,4
Kuwait,Lebanon,3
Morocco,Lebanon,1
Nigeria,Lebanon,2
Oman,Lebanon,1
Qatar,Lebanon,2
Romania,Lebanon,3
Russia,Lebanon,1
Saudi Arabia,Lebanon,8
Sudan,Lebanon,1
Switzerland,Lebanon,1
Syria,Lebanon,1
Tunisia,Lebanon,2
Turkey,Lebanon,3
Ukraine,Lebanon,1
United Arab Emirates,Lebanon,6
United Kingdom,Lebanon,3
Yemen,Lebanon,1
South Africa,Lesotho,1
Belgium,Liberia,6
Cote d'Ivoire,Liberia,5
Ghana,Liberia,7
Guinea,Liberia,1
Mali,Liberia,1
Morocco,Liberia,1
Senegal,Liberia,1
Sierra Leone,Liberia,2
Egypt,Libya,5
Italy,Libya,1
Jordan,Libya,3
Libya,Libya,6
Malta,Libya,2
Morocco,Libya,1
Qatar,Libya,1
Tunisia,Libya,4
Turkey,Libya,3
Austria,Lithuania,1
Belgium,Lithuania,4
Czech Republic,Lithuania,1
Denmark,Lithuania,2
Estonia,Lithuania,1
Finland,Lithuania,2
France,Lithuania,1
Germany,Lithuania,5
Ireland,Lithuania,4
Italy,Lithuania,4
Latvia,Lithuania,3
Netherlands,Lithuania,2
Norway,Lithuania,4
Poland,Lithuania,1
Russia,Lithuania,1
Spain,Lithuania,2
Sweden,Lithuania,5
Ukraine,Lithuania,1
United Kingdom,Lithuania,11
Austria,Luxembourg,2
Cape Verde,Luxembourg,1
Denmark,Luxembourg,1
France,Luxembourg,3
Germany,Luxembourg,10
Italy,Luxembourg,6
Morocco,Luxembourg,1
Netherlands,Luxembourg,1
Portugal,Luxembourg,3
Spain,Luxembourg,6
Switzerland,Luxembourg,2
Tunisia,Luxembourg,1
United Kingdom,Luxembourg,3
China,Macau,37
Japan,Macau,4
Malaysia,Macau,1
Philippines,Macau,6
Singapore,Macau,3
South Korea,Macau,4
Taiwan,Macau,6
Thailand,Macau,2
Austria,Macedonia,1
Croatia,Macedonia,1
Czech Republic,Macedonia,1
Germany,Macedonia,1
Hungary,Macedonia,1
Italy,Macedonia,4
Serbia,Macedonia,1
Slovenia,Macedonia,1
Switzerland,Macedonia,2
Turkey,Macedonia,3
United Kingdom,Macedonia,1
Comoros,Madagascar,4
France,Madagascar,3
Kenya,Madagascar,2
Madagascar,Madagascar,45
Mauritius,Madagascar,2
Mayotte,Madagascar,7
Reunion,Madagascar,10
South Africa,Madagascar,3
Thailand,Madagascar,2
Congo (Kinshasa),Malawi,1
Ethiopia,Malawi,1
Kenya,Malawi,3
Malawi,Malawi,2
South Africa,Malawi,2
Tanzania,Malawi,1
Zambia,Malawi,4
Zimbabwe,Malawi,2
Australia,Malaysia,15
Bahrain,Malaysia,2
Bangladesh,Malaysia,3
Brunei,Malaysia,4
Burma,Malaysia,3
Cambodia,Malaysia,4
China,Malaysia,22
France,Malaysia,2
Germany,Malaysia,1
Hong Kong,Malaysia,10
India,Malaysia,17
Indonesia,Malaysia,48
Iran,Malaysia,2
Italy,Malaysia,2
Japan,Malaysia,9
Kazakhstan,Malaysia,1
Kuwait,Malaysia,1
Laos,Malaysia,1
Macau,Malaysia,1
Malaysia,Malaysia,223
Maldives,Malaysia,1
Mauritius,Malaysia,2
Nepal,Malaysia,1
Netherlands,Malaysia,3
New Zealand,Malaysia,2
Oman,Malaysia,2
Pakistan,Malaysia,4
Philippines,Malaysia,6
Qatar,Malaysia,2
Russia,Malaysia,1
Saudi Arabia,Malaysia,3
Singapore,Malaysia,35
South Africa,Malaysia,3
South Korea,Malaysia,6
Sri Lanka,Malaysia,3
Taiwan,Malaysia,8
Thailand,Malaysia,24
Turkey,Malaysia,2
United Arab Emirates,Malaysia,5
United Kingdom,Malaysia,3
Uzbekistan,Malaysia,2
Vietnam,Malaysia,7
Zimbabwe,Malaysia,1
Austria,Maldives,1
China,Maldives,3
France,Maldives,1
Germany,Maldives,3
India,Maldives,3
Italy,Maldives,3
Japan,Maldives,1
Malaysia,Maldives,1
Maldives,Maldives,11
Oman,Maldives,1
Qatar,Maldives,1
Russia,Maldives,2
Singapore,Maldives,1
Sri Lanka,Maldives,6
Switzerland,Maldives,2
Thailand,Maldives,1
United Arab Emirates,Maldives,2
United Kingdom,Maldives,2
Algeria,Mali,1
Belgium,Mali,4
Benin,Mali,2
Burkina Faso,Mali,4
Cote d'Ivoire,Mali,4
France,Mali,2
Ghana,Mali,5
Guinea,Mali,2
Kenya,Mali,1
Liberia,Mali,1
Mali,Mali,8
Mauritania,Mali,2
Morocco,Mali,1
Niger,Mali,1
Portugal,Mali,1
Senegal,Mali,5
Spain,Mali,1
Togo,Mali,3
Tunisia,Mali,1
Austria,Malta,2
Belgium,Malta,2
Cyprus,Malta,2
Egypt,Malta,1
France,Malta,2
Germany,Malta,8
Greece,Malta,1
Ireland,Malta,1
Italy,Malta,13
Libya,Malta,2
Netherlands,Malta,2
Russia,Malta,1
Spain,Malta,2
Sweden,Malta,1
Switzerland,Malta,2
Tunisia,Malta,1
Turkey,Malta,2
United Kingdom,Malta,18
Marshall Islands,Marshall Islands,5
Micronesia,Marshall Islands,4
United States,Marshall Islands,2
Canada,Martinique,1
Cuba,Martinique,1
Dominican Republic,Martinique,2
France,Martinique,4
French Guiana,Martinique,2
Guadeloupe,Martinique,4
Netherlands Antilles,Martinique,1
Puerto Rico,Martinique,1
Saint Lucia,Martinique,4
Algeria,Mauritania,1
France,Mauritania,1
Guinea,Mauritania,1
Mali,Mauritania,2
Mauritania,Mauritania,2
Morocco,Mauritania,2
Senegal,Mauritania,2
Tunisia,Mauritania,1
Australia,Mauritius,2
France,Mauritius,3
Germany,Mauritius,3
Hong Kong,Mauritius,1
India,Mauritius,6
Italy,Mauritius,4
Kenya,Mauritius,2
Madagascar,Mauritius,2
Malaysia,Mauritius,2
Mauritius,Mauritius,2
Reunion,Mauritius,5
Russia,Mauritius,1
Seychelles,Mauritius,1
Singapore,Mauritius,2
South Africa,Mauritius,7
Switzerland,Mauritius,2
United Arab Emirates,Mauritius,2
United Kingdom,Mauritius,2
Comoros,Mayotte,3
France,Mayotte,1
Kenya,Mayotte,1
Madagascar,Mayotte,6
Reunion,Mayotte,1
Argentina,Mexico,2
Brazil,Mexico,2
Canada,Mexico,86
Chile,Mexico,3
China,Mexico,1
Colombia,Mexico,4
Costa Rica,Mexico,3
Cuba,Mexico,8
El Salvador,Mexico,2
France,Mexico,5
Germany,Mexico,4
Guatemala,Mexico,3
Honduras,Mexico,1
Italy,Mexico,2
Japan,Mexico,1
Mexico,Mexico,472
Netherlands,Mexico,2
Panama,Mexico,7
Peru,Mexico,5
Russia,Mexico,2
Spain,Mexico,10
United Kingdom,Mexico,7
United States,Mexico,341
Venezuela,Mexico,1
Guam,Micronesia,4
Marshall Islands,Micronesia,4
Micronesia,Micronesia,8
Palau,Micronesia,2
Austria,Moldova,2
Germany,Moldova,2
Greece,Moldova,1
Hungary,Moldova,3
Italy,Moldova,6
Romania,Moldova,4
Russia,Moldova,5
Spain,Moldova,1
Turkey,Moldova,4
Ukraine,Moldova,2
France,Monaco,2
China,Mongolia,3
Hong Kong,Mongolia,1
Japan,Mongolia,1
Russia,Mongolia,2
South Korea,Mongolia,2
Austria,Montenegro,2
Croatia,Montenegro,1
Denmark,Montenegro,1
France,Montenegro,1
Germany,Montenegro,1
Hungary,Montenegro,1
Italy,Montenegro,1
Russia,Montenegro,4
Serbia,Montenegro,5
Slovenia,Montenegro,2
Switzerland,Montenegro,1
Turkey,Montenegro,1
Antigua and Barbuda,Montserrat,1
Algeria,Morocco,2
Belgium,Morocco,11
Benin,Morocco,1
Burkina Faso,Morocco,1
Cameroon,Morocco,2
Canada,Morocco,1
Congo (Brazzaville),Morocco,1
Congo (Kinshasa),Morocco,2
Cote d'Ivoire,Morocco,1
Denmark,Morocco,2
Egypt,Morocco,2
Equatorial Guinea,Morocco,1
France,Morocco,62
Gabon,Morocco,1
Gambia,Morocco,1
Germany,Morocco,14
Ghana,Morocco,1
Guinea,Morocco,1
Guinea-Bissau,Morocco,1
Ireland,Morocco,1
Italy,Morocco,12
Lebanon,Morocco,1
Liberia,Morocco,1
Libya,Morocco,1
Luxembourg,Morocco,1
Mali,Morocco,1
Mauritania,Morocco,2
Morocco,Morocco,20
Netherlands,Morocco,7
Niger,Morocco,1
Nigeria,Morocco,1
Norway,Morocco,2
Portugal,Morocco,3
Russia,Morocco,1
Saudi Arabia,Morocco,2
Senegal,Morocco,1
Sierra Leone,Morocco,1
Spain,Morocco,27
Sweden,Morocco,2
Switzerland,Morocco,2
Togo,Morocco,1
Tunisia,Morocco,3
Turkey,Morocco,3
United Arab Emirates,Morocco,3
United Kingdom,Morocco,13
United States,Morocco,2
Western Sahara,Morocco,4
Angola,Mozambique,2
Ethiopia,Mozambique,1
Kenya,Mozambique,4
Mozambique,Mozambique,34
Portugal,Mozambique,2
South Africa,Mozambique,16
Tanzania,Mozambique,1
Angola,Namibia,3
Germany,Namibia,2
Ghana,Namibia,1
Namibia,Namibia,10
South Africa,Namibia,8
Zambia,Namibia,1
Zimbabwe,Namibia,1
Bahrain,Nepal,2
Bangladesh,Nepal,4
Bhutan,Nepal,1
China,Nepal,3
Hong Kong,Nepal,3
India,Nepal,11
Malaysia,Nepal,1
Nepal,Nepal,48
Oman,Nepal,1
Pakistan,Nepal,1
Qatar,Nepal,2
Saudi Arabia,Nepal,1
Singapore,Nepal,2
South Korea,Nepal,1
Thailand,Nepal,2
United Arab Emirates,Nepal,4
Argentina,Netherlands,1
Aruba,Netherlands,1
Austria,Netherlands,11
Bahrain,Netherlands,3
Belarus,Netherlands,1
Belgium,Netherlands,3
Bosnia and Herzegovina,Netherlands,1
Brazil,Netherlands,2
Bulgaria,Netherlands,3
Canada,Netherlands,8
Cape Verde,Netherlands,1
China,Netherlands,13
Croatia,Netherlands,1
Cuba,Netherlands,1
Cyprus,Netherlands,2
Czech Republic,Netherlands,6
Denmark,Netherlands,8
Dominican Republic,Netherlands,2
Ecuador,Netherlands,2
Egypt,Netherlands,5
Estonia,Netherlands,2
Finland,Netherlands,3
France,Netherlands,26
Germany,Netherlands,25
Ghana,Netherlands,1
Greece,Netherlands,3
Hong Kong,Netherlands,2
Hungary,Netherlands,3
Iceland,Netherlands,1
India,Netherlands,3
Iran,Netherlands,2
Ireland,Netherlands,3
Israel,Netherlands,2
Italy,Netherlands,25
Jamaica,Netherlands,1
Japan,Netherlands,2
Jordan,Netherlands,1
Kazakhstan,Netherlands,4
Kenya,Netherlands,3
Kuwait,Netherlands,3
Latvia,Netherlands,2
Lithuania,Netherlands,2
Luxembourg,Netherlands,1
Malaysia,Netherlands,3
Malta,Netherlands,3
Mexico,Netherlands,3
Morocco,Netherlands,8
Netherlands Antilles,Netherlands,4
Nigeria,Netherlands,3
Norway,Netherlands,13
Pakistan,Netherlands,1
Panama,Netherlands,2
Peru,Netherlands,2
Philippines,Netherlands,1
Poland,Netherlands,8
Portugal,Netherlands,10
Romania,Netherlands,3
Russia,Netherlands,4
Saudi Arabia,Netherlands,2
Serbia,Netherlands,3
Singapore,Netherlands,3
Slovenia,Netherlands,1
South Africa,Netherlands,3
South Korea,Netherlands,1
Spain,Netherlands,38
Sri Lanka,Netherlands,1
Sudan,Netherlands,3
Suriname,Netherlands,2
Sweden,Netherlands,6
Switzerland,Netherlands,7
Syria,Netherlands,1
Tanzania,Netherlands,1
Thailand,Netherlands,3
Tunisia,Netherlands,1
Turkey,Netherlands,5
Uganda,Netherlands,2
Ukraine,Netherlands,2
United Arab Emirates,Netherlands,8
United Kingdom,Netherlands,49
United States,Netherlands,46
Anguilla,Netherlands Antilles,1
Antigua and Barbuda,Netherlands Antilles,1
Aruba,Netherlands Antilles,6
Brazil,Netherlands Antilles,1
British Virgin Islands,Netherlands Antilles,2
Canada,Netherlands Antilles,3
Colombia,Netherlands Antilles,2
Dominica,Netherlands Antilles,2
Dominican Republic,Netherlands Antilles,4
France,Netherlands Antilles,6
Germany,Netherlands Antilles,1
Haiti,Netherlands Antilles,1
Jamaica,Netherlands Antilles,2
Netherlands,Netherlands Antilles,4
Netherlands Antilles,Netherlands Antilles,13
Panama,Netherlands Antilles,1
Puerto Rico,Netherlands Antilles,2
Saint Kitts and Nevis,Netherlands Antilles,2
Saint Lucia,Netherlands Antilles,1
Suriname,Netherlands Antilles,1
Trinidad and Tobago,Netherlands Antilles,3
United States,Netherlands Antilles,24
Venezuela,Netherlands Antilles,6
Virgin Islands,Netherlands Antilles,2
Australia,New Caledonia,5
Fiji,New Caledonia,1
French Polynesia,New Caledonia,1
Japan,New Caledonia,2
New Caledonia,New Caledonia,20
New Zealand,New Caledonia,2
South Korea,New Caledonia,2
Vanuatu,New Caledonia,2
Wallis and Futuna,New Caledonia,1
Argentina,New Zealand,1
Australia,New Zealand,79
Canada,New Zealand,2
Chile,New Zealand,2
China,New Zealand,5
Cook Islands,New Zealand,2
Fiji,New Zealand,6
French Polynesia,New Zealand,3
Hong Kong,New Zealand,3
Japan,New Zealand,6
Malaysia,New Zealand,2
New Caledonia,New Zealand,2
New Zealand,New Zealand,123
Niue,New Zealand,1
Norfolk Island,New Zealand,1
Samoa,New Zealand,2
Singapore,New Zealand,3
South Korea,New Zealand,1
Thailand,New Zealand,2
Tonga,New Zealand,2
United States,New Zealand,13
Vanuatu,New Zealand,2
Costa Rica,Nicaragua,3
Cuba,Nicaragua,1
El Salvador,Nicaragua,4
Panama,Nicaragua,4
United States,Nicaragua,9
Algeria,Niger,1
Burkina Faso,Niger,7
France,Niger,3
Mali,Niger,1
Morocco,Niger,1
Nigeria,Niger,1
Angola,Nigeria,1
Benin,Nigeria,3
Cameroon,Nigeria,2
Chad,Nigeria,1
Cote d'Ivoire,Nigeria,1
Egypt,Nigeria,3
Equatorial Guinea,Nigeria,1
Ethiopia,Nigeria,2
France,Nigeria,1
Gabon,Nigeria,1
Germany,Nigeria,5
Ghana,Nigeria,6
Italy,Nigeria,1
Kenya,Nigeria,2
Lebanon,Nigeria,2
Morocco,Nigeria,1
Netherlands,Nigeria,3
Niger,Nigeria,1
Nigeria,Nigeria,78
Qatar,Nigeria,1
Rwanda,Nigeria,1
Senegal,Nigeria,1
Sierra Leone,Nigeria,1
South Africa,Nigeria,2
Spain,Nigeria,1
Togo,Nigeria,2
Turkey,Nigeria,1
United Arab Emirates,Nigeria,1
United Kingdom,Nigeria,5
United States,Nigeria,4
New Zealand,Niue,1
Australia,Norfolk Island,8
New Zealand,Norfolk Island,1
China,Northern Mariana Islands,2
Guam,Northern Mariana Islands,3
Japan,Northern Mariana Islands,3
Northern Mariana Islands,Northern Mariana Islands,6
South Korea,Northern Mariana Islands,3
Austria,Norway,5
Belgium,Norway,3
Cyprus,Norway,1
Czech Republic,Norway,2
Denmark,Norway,23
Estonia,Norway,5
Finland,Norway,4
France,Norway,7
Germany,Norway,22
Hungary,Norway,1
Iceland,Norway,2
Ireland,Norway,3
Italy,Norway,4
Latvia,Norway,9
Lithuania,Norway,4
Morocco,Norway,2
Netherlands,Norway,13
Norway,Norway,274
Pakistan,Norway,1
Poland,Norway,19
Portugal,Norway,3
Qatar,Norway,1
Russia,Norway,5
Serbia,Norway,1
Spain,Norway,20
Sweden,Norway,11
Switzerland,Norway,3
Thailand,Norway,1
Turkey,Norway,3
United Arab Emirates,Norway,1
United Kingdom,Norway,36
United States,Norway,3
Bahrain,Oman,2
Bangladesh,Oman,2
Egypt,Oman,2
France,Oman,1
Germany,Oman,2
India,Oman,18
Iran,Oman,2
Italy,Oman,1
Jordan,Oman,2
Kuwait,Oman,2
Lebanon,Oman,1
Malaysia,Oman,2
Maldives,Oman,1
Nepal,Oman,1
Oman,Oman,4
Pakistan,Oman,15
Qatar,Oman,2
Saudi Arabia,Oman,6
Sri Lanka,Oman,2
Switzerland,Oman,1
Tanzania,Oman,1
Thailand,Oman,1
Turkey,Oman,1
United Arab Emirates,Oman,22
United Kingdom,Oman,2
Afghanistan,Pakistan,2
Bahrain,Pakistan,5
Bangladesh,Pakistan,3
Canada,Pakistan,3
China,Pakistan,5
Denmark,Pakistan,1
France,Pakistan,2
Germany,Pakistan,1
India,Pakistan,3
Iran,Pakistan,3
Kuwait,Pakistan,6
Malaysia,Pakistan,4
Nepal,Pakistan,1
Netherlands,Pakistan,1
Norway,Pakistan,1
Oman,Pakistan,15
Pakistan,Pakistan,112
Qatar,Pakistan,7
Saudi Arabia,Pakistan,32
Spain,Pakistan,2
Sri Lanka,Pakistan,2
Thailand,Pakistan,7
Turkey,Pakistan,4
United Arab Emirates,Pakistan,41
United Kingdom,Pakistan,7
United States,Pakistan,1
Uzbekistan,Pakistan,1
Guam,Palau,2
Japan,Palau,2
Micronesia,Palau,2
Philippines,Palau,2
South Korea,Palau,2
Taiwan,Palau,1
Argentina,Panama,2
Aruba,Panama,2
Bahamas,Panama,1
Bolivia,Panama,1
Brazil,Panama,7
Canada,Panama,1
Chile,Panama,1
Colombia,Panama,12
Costa Rica,Panama,4
Cuba,Panama,2
Dominican Republic,Panama,4
Ecuador,Panama,4
El Salvador,Panama,2
Guatemala,Panama,1
Haiti,Panama,1
Honduras,Panama,1
Jamaica,Panama,2
Mexico,Panama,7
Netherlands,Panama,2
Netherlands Antilles,Panama,1
Nicaragua,Panama,2
Panama,Panama,16
Paraguay,Panama,1
Peru,Panama,1
Puerto Rico,Panama,3
Spain,Panama,1
Trinidad and Tobago,Panama,1
United States,Panama,28
Uruguay,Panama,1
Venezuela,Panama,4
Australia,Papua New Guinea,9
Hong Kong,Papua New Guinea,1
Japan,Papua New Guinea,1
Papua New Guinea,Papua New Guinea,118
Philippines,Papua New Guinea,1
Singapore,Papua New Guinea,1
Solomon Islands,Papua New Guinea,1
Argentina,Paraguay,4
Bolivia,Paraguay,2
Brazil,Paraguay,6
Chile,Paraguay,2
Panama,Paraguay,1
Paraguay,Paraguay,4
Peru,Paraguay,1
Uruguay,Paraguay,3
Argentina,Peru,6
Bolivia,Peru,7
Brazil,Peru,7
Canada,Peru,1
Chile,Peru,11
Colombia,Peru,3
Costa Rica,Peru,3
Cuba,Peru,1
Dominican Republic,Peru,2
Ecuador,Peru,4
El Salvador,Peru,2
France,Peru,1
Mexico,Peru,5
Netherlands,Peru,2
Panama,Peru,1
Paraguay,Peru,1
Peru,Peru,96
Spain,Peru,3
United States,Peru,17
Uruguay,Peru,1
Venezuela,Peru,2
Australia,Philippines,5
Bahrain,Philippines,2
Brunei,Philippines,2
Canada,Philippines,1
China,Philippines,19
Guam,Philippines,2
Hong Kong,Philippines,10
Indonesia,Philippines,3
Japan,Philippines,10
Macau,Philippines,6
Malaysia,Philippines,6
Netherlands,Philippines,1
Palau,Philippines,2
Papua New Guinea,Philippines,1
Philippines,Philippines,304
Qatar,Philippines,3
Saudi Arabia,Philippines,3
Singapore,Philippines,14
South Korea,Philippines,25
Taiwan,Philippines,7
Thailand,Philippines,6
United Arab Emirates,Philippines,4
United States,Philippines,2
Vietnam,Philippines,3
Armenia,Poland,2
Austria,Poland,4
Belarus,Poland,2
Belgium,Poland,7
Bulgaria,Poland,2
Canada,Poland,2
Cyprus,Poland,1
Czech Republic,Poland,7
Denmark,Poland,6
Egypt,Poland,2
Estonia,Poland,1
Finland,Poland,4
France,Poland,11
Georgia,Poland,1
Germany,Poland,55
Greece,Poland,1
Hungary,Poland,2
Ireland,Poland,17
Israel,Poland,2
Italy,Poland,22
Latvia,Poland,2
Lithuania,Poland,1
Netherlands,Poland,8
Norway,Poland,19
Poland,Poland,38
Portugal,Poland,2
Romania,Poland,2
Russia,Poland,6
Serbia,Poland,2
Slovakia,Poland,2
Spain,Poland,13
Sweden,Poland,12
Switzerland,Poland,4
Turkey,Poland,2
Ukraine,Poland,8
United Kingdom,Poland,62
United States,Poland,6
Vietnam,Poland,1
Algeria,Portugal,1
Angola,Portugal,3
Austria,Portugal,2
Belgium,Portugal,9
Brazil,Portugal,18
Canada,Portugal,5
Cape Verde,Portugal,7
Czech Republic,Portugal,1
Denmark,Portugal,5
Finland,Portugal,1
France,Portugal,31
Germany,Portugal,28
Ghana,Portugal,1
Greece,Portugal,2
Guinea-Bissau,Portugal,1
Hungary,Portugal,1
Ireland,Portugal,3
Italy,Portugal,21
Luxembourg,Portugal,3
Mali,Portugal,1
Morocco,Portugal,3
Mozambique,Portugal,2
Netherlands,Portugal,10
Norway,Portugal,3
Poland,Portugal,2
Portugal,Portugal,84
Russia,Portugal,1
Sao Tome and Principe,Portugal,2
Senegal,Portugal,1
Spain,Portugal,43
Sweden,Portugal,2
Switzerland,Portugal,9
Tunisia,Portugal,1
Turkey,Portugal,2
Ukraine,Portugal,2
United Kingdom,Portugal,42
United States,Portugal,10
Venezuela,Portugal,3
Anguilla,Puerto Rico,1
Antigua and Barbuda,Puerto Rico,3
Barbados,Puerto Rico,1
British Virgin Islands,Puerto Rico,4
Canada,Puerto Rico,3
Dominica,Puerto Rico,1
Dominican Republic,Puerto Rico,5
France,Puerto Rico,1
Germany,Puerto Rico,1
Grenada,Puerto Rico,1
Guadeloupe,Puerto Rico,1
Martinique,Puerto Rico,1
Netherlands Antilles,Puerto Rico,3
Panama,Puerto Rico,3
Puerto Rico,Puerto Rico,11
Saint Kitts and Nevis,Puerto Rico,2
Saint Lucia,Puerto Rico,1
Saint Vincent and the Grenadines,Puerto Rico,1
Spain,Puerto Rico,3
United States,Puerto Rico,46
Venezuela,Puerto Rico,1
Virgin Islands,Puerto Rico,11
Algeria,Qatar,1
Australia,Qatar,1
Austria,Qatar,1
Bahrain,Qatar,11
Bangladesh,Qatar,2
Belgium,Qatar,1
Brazil,Qatar,1
Canada,Qatar,1
China,Qatar,4
Denmark,Qatar,1
Egypt,Qatar,4
France,Qatar,1
Germany,Qatar,7
Greece,Qatar,1
Hong Kong,Qatar,1
Hungary,Qatar,1
India,Qatar,15
Indonesia,Qatar,1
Iran,Qatar,6
Italy,Qatar,3
Japan,Qatar,2
Jordan,Qatar,2
Kenya,Qatar,1
Kuwait,Qatar,3
Lebanon,Qatar,2
Libya,Qatar,1
Malaysia,Qatar,2
Maldives,Qatar,1
Nepal,Qatar,1
Nigeria,Qatar,1
Norway,Qatar,1
Oman,Qatar,2
Pakistan,Qatar,7
Philippines,Qatar,3
Romania,Qatar,1
Russia,Qatar,1
Saudi Arabia,Qatar,8
Seychelles,Qatar,1
Singapore,Qatar,1
South Africa,Qatar,1
South Korea,Qatar,2
Spain,Qatar,2
Sri Lanka,Qatar,2
Sudan,Qatar,2
Sweden,Qatar,1
Switzerland,Qatar,2
Syria,Qatar,3
Tanzania,Qatar,1
Thailand,Qatar,1
Tunisia,Qatar,1
Turkey,Qatar,3
Uganda,Qatar,1
United Arab Emirates,Qatar,8
United Kingdom,Qatar,4
United States,Qatar,6
Yemen,Qatar,3
Australia,Reunion,1
Comoros,Reunion,1
France,Reunion,6
Madagascar,Reunion,9
Mauritius,Reunion,6
Mayotte,Reunion,1
Seychelles,Reunion,1
South Africa,Reunion,2
Thailand,Reunion,1
Austria,Romania,14
Belgium,Romania,3
Bulgaria,Romania,3
Cyprus,Romania,2
Czech Republic,Romania,1
Denmark,Romania,1
Egypt,Romania,1
France,Romania,8
Germany,Romania,24
Greece,Romania,3
Hungary,Romania,5
Ireland,Romania,1
Israel,Romania,2
Italy,Romania,44
Jordan,Romania,2
Lebanon,Romania,3
Moldova,Romania,4
Netherlands,Romania,3
Poland,Romania,2
Qatar,Romania,1
Romania,Romania,58
Russia,Romania,2
Serbia,Romania,2
Spain,Romania,18
Switzerland,Romania,1
Syria,Romania,2
Turkey,Romania,3
Ukraine,Romania,3
United Arab Emirates,Romania,1
United Kingdom,Romania,7
Afghanistan,Russia,1
Algeria,Russia,1
Armenia,Russia,35
Austria,Russia,22
Azerbaijan,Russia,21
Belarus,Russia,9
Belgium,Russia,2
Bulgaria,Russia,5
Canada,Russia,1
China,Russia,34
Croatia,Russia,1
Cuba,Russia,3
Cyprus,Russia,6
Czech Republic,Russia,28
Denmark,Russia,4
Dominican Republic,Russia,4
Egypt,Russia,9
Estonia,Russia,4
Finland,Russia,7
France,Russia,8
Georgia,Russia,4
Germany,Russia,59
Greece,Russia,5
Hong Kong,Russia,5
Hungary,Russia,4
India,Russia,6
Indonesia,Russia,4
Iran,Russia,2
Israel,Russia,13
Italy,Russia,20
Japan,Russia,5
Jordan,Russia,3
Kazakhstan,Russia,25
Kyrgyzstan,Russia,41
Latvia,Russia,8
Lebanon,Russia,1
Lithuania,Russia,1
Malaysia,Russia,1
Maldives,Russia,2
Malta,Russia,1
Mauritius,Russia,1
Mexico,Russia,2
Moldova,Russia,5
Mongolia,Russia,2
Montenegro,Russia,4
Morocco,Russia,1
Netherlands,Russia,4
Norway,Russia,5
Poland,Russia,6
Portugal,Russia,1
Qatar,Russia,1
Romania,Russia,2
Russia,Russia,935
Serbia,Russia,2
Seychelles,Russia,1
Singapore,Russia,2
Slovenia,Russia,2
South Korea,Russia,10
Spain,Russia,17
Sri Lanka,Russia,1
Sweden,Russia,4
Switzerland,Russia,7
Syria,Russia,2
Tajikistan,Russia,61
Thailand,Russia,18
Tunisia,Russia,1
Turkey,Russia,17
Turkmenistan,Russia,2
Ukraine,Russia,40
United Arab Emirates,Russia,19
United Kingdom,Russia,8
United States,Russia,17
Uzbekistan,Russia,79
Vietnam,Russia,7
Belgium,Rwanda,7
Burundi,Rwanda,5
Congo (Kinshasa),Rwanda,1
Kenya,Rwanda,5
Netherlands,Rwanda,2
Nigeria,Rwanda,1
Rwanda,Rwanda,5
South Africa,Rwanda,1
Tanzania,Rwanda,2
Uganda,Rwanda,7
United Arab Emirates,Rwanda,1
Antigua and Barbuda,Saint Kitts and Nevis,3
Canada,Saint Kitts and Nevis,1
Netherlands Antilles,Saint Kitts and Nevis,3
Puerto Rico,Saint Kitts and Nevis,2
United States,Saint Kitts and Nevis,4
Antigua and Barbuda,Saint Lucia,1
Barbados,Saint Lucia,1
Canada,Saint Lucia,3
Dominica,Saint Lucia,1
Germany,Saint Lucia,1
Martinique,Saint Lucia,4
Netherlands Antilles,Saint Lucia,1
Puerto Rico,Saint Lucia,1
Saint Vincent and the Grenadines,Saint Lucia,1
Trinidad and Tobago,Saint Lucia,2
United Kingdom,Saint Lucia,2
United States,Saint Lucia,5
Canada,Saint Pierre and Miquelon,3
Barbados,Saint Vincent and the Grenadines,2
Grenada,Saint Vincent and the Grenadines,2
Puerto Rico,Saint Vincent and the Grenadines,1
Saint Lucia,Saint Vincent and the Grenadines,1
Trinidad and Tobago,Saint Vincent and the Grenadines,1
Venezuela,Saint Vincent and the Grenadines,1
Australia,Samoa,2
Fiji,Samoa,2
New Zealand,Samoa,2
United States,Samoa,1
Angola,Sao Tome and Principe,1
Cameroon,Sao Tome and Principe,1
Cape Verde,Sao Tome and Principe,1
Gabon,Sao Tome and Principe,1
Portugal,Sao Tome and Principe,2
Bahrain,Saudi Arabia,11
Bangladesh,Saudi Arabia,6
Brunei,Saudi Arabia,1
China,Saudi Arabia,1
Djibouti,Saudi Arabia,1
Egypt,Saudi Arabia,32
Eritrea,Saudi Arabia,3
Ethiopia,Saudi Arabia,4
France,Saudi Arabia,4
